15:45:19.887 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
15:45:19.896 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
15:45:19.908 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
15:45:19.917 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
15:45:19.926 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

16:02:28.840 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
16:02:28.862 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
16:02:28.880 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
16:02:28.901 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
16:02:28.920 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

16:07:09.080 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
16:07:09.091 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
16:07:09.104 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
16:07:09.116 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
16:07:09.126 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

16:33:58.010 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
16:33:58.036 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
16:33:58.055 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
16:33:58.074 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
16:33:58.094 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

16:45:28.898 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
16:45:28.907 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
16:45:28.918 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
16:45:28.925 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
16:45:28.935 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

16:50:35.800 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
16:50:35.821 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
16:50:35.839 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
16:50:35.858 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
16:50:35.879 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

16:55:10.939 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status Ids before add new status are => [1, 3, 2, 5, 6]
16:55:10.962 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status names before add new status are => [Not Started, In Discussion, In Progress, Submitted, Completed]
16:55:10.981 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status levels before add new status are => [0, 1, 2, 3, 5]
16:55:11.000 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [Gray, Crystal Blue, Mustard, Smith Green, Lime Green]
16:55:11.021 --> in.biencaps.erp.api.testcases.StatusFolderAPITestCases - List of status colors before add new status are => [#C9C8C8, #A5DFFA, #FCF088, #CADF94,  #32CD32]

